strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,category,combined
blue wonder,happy,uplifted,euphoric,focused,relaxed,depression,spasticity,none,none,none,none,none,none,none,none,blueberry,none,none,hybrid,"happy, uplifted, euphoric, focused, relaxed, depression, spasticity, none, none, none, none, none, none, none, none, blueberry, none, none, hybrid"
blue wreck,sleepy,happy,euphoric,hungry,giggly,stress,pain,headaches,depression,musclespasms,dizzy,drymouth,dryeyes,anxious,paranoid,blueberry,earthy,skunk,hybrid,"sleepy, happy, euphoric, hungry, giggly, stress, pain, headaches, depression, musclespasms, dizzy, drymouth, dryeyes, anxious, paranoid, blueberry, earthy, skunk, hybrid"
blue zkittlez,relaxed,sleepy,happy,hungry,uplifted,stress,pain,depression,inflammation,insomnia,drymouth,dryeyes,headache,dizzy,anxious,sweet,berry,citrus,indica,"relaxed, sleepy, happy, hungry, uplifted, stress, pain, depression, inflammation, insomnia, drymouth, dryeyes, headache, dizzy, anxious, sweet, berry, citrus, indica"
blue zombie,relaxed,happy,hungry,euphoric,sleepy,pain,insomnia,stress,depression,musclespasms,drymouth,dryeyes,anxious,paranoid,dizzy,berry,skunk,sweet,indica,"relaxed, happy, hungry, euphoric, sleepy, pain, insomnia, stress, depression, musclespasms, drymouth, dryeyes, anxious, paranoid, dizzy, berry, skunk, sweet, indica"
blueberry,relaxed,happy,euphoric,sleepy,uplifted,stress,pain,depression,insomnia,lackofappetite,drymouth,dryeyes,dizzy,paranoid,headache,blueberry,berry,sweet,indica,"relaxed, happy, euphoric, sleepy, uplifted, stress, pain, depression, insomnia, lackofappetite, drymouth, dryeyes, dizzy, paranoid, headache, blueberry, berry, sweet, indica"
blueberry ak,relaxed,happy,euphoric,hungry,energetic,stress,insomnia,fatigue,lackofappetite,nausea,dizzy,drymouth,dryeyes,headache,none,blueberry,skunk,sweet,hybrid,"relaxed, happy, euphoric, hungry, energetic, stress, insomnia, fatigue, lackofappetite, nausea, dizzy, drymouth, dryeyes, headache, none, blueberry, skunk, sweet, hybrid"
blueberry blast,talkative,focused,hungry,happy,energetic,depression,pain,stress,nausea,fatigue,anxious,drymouth,paranoid,dizzy,dryeyes,blueberry,berry,citrus,sativa,"talkative, focused, hungry, happy, energetic, depression, pain, stress, nausea, fatigue, anxious, drymouth, paranoid, dizzy, dryeyes, blueberry, berry, citrus, sativa"
blueberry bomb,relaxed,euphoric,happy,tingly,uplifted,inflammation,pain,stress,depression,musclespasms,dryeyes,anxious,headache,drymouth,none,blueberry,earthy,sweet,hybrid,"relaxed, euphoric, happy, tingly, uplifted, inflammation, pain, stress, depression, musclespasms, dryeyes, anxious, headache, drymouth, none, blueberry, earthy, sweet, hybrid"
blueberry diesel,happy,relaxed,euphoric,hungry,giggly,insomnia,depression,stress,lackofappetite,pain,drymouth,dryeyes,paranoid,dizzy,headache,blueberry,diesel,sweet,hybrid,"happy, relaxed, euphoric, hungry, giggly, insomnia, depression, stress, lackofappetite, pain, drymouth, dryeyes, paranoid, dizzy, headache, blueberry, diesel, sweet, hybrid"
blueberry dream,relaxed,focused,creative,euphoric,tingly,pain,stress,inflammation,fatigue,headaches,drymouth,dizzy,dryeyes,none,none,blueberry,berry,sweet,sativa,"relaxed, focused, creative, euphoric, tingly, pain, stress, inflammation, fatigue, headaches, drymouth, dizzy, dryeyes, none, none, blueberry, berry, sweet, sativa"
blueberry essence,relaxed,happy,uplifted,euphoric,sleepy,pain,stress,headaches,insomnia,musclespasms,drymouth,dryeyes,none,none,none,blueberry,earthy,flowery,hybrid,"relaxed, happy, uplifted, euphoric, sleepy, pain, stress, headaches, insomnia, musclespasms, drymouth, dryeyes, none, none, none, blueberry, earthy, flowery, hybrid"
blueberry hashplant,creative,focused,happy,uplifted,energetic,none,none,none,none,none,drymouth,none,none,none,none,blueberry,pungent,berry,hybrid,"creative, focused, happy, uplifted, energetic, none, none, none, none, none, drymouth, none, none, none, none, blueberry, pungent, berry, hybrid"
blueberry haze,euphoric,giggly,happy,relaxed,energetic,depression,pain,stress,insomnia,nausea,drymouth,dryeyes,paranoid,anxious,dizzy,blueberry,sweet,berry,hybrid,"euphoric, giggly, happy, relaxed, energetic, depression, pain, stress, insomnia, nausea, drymouth, dryeyes, paranoid, anxious, dizzy, blueberry, sweet, berry, hybrid"
blueberry headband,relaxed,happy,euphoric,uplifted,energetic,stress,pain,depression,lackofappetite,headaches,drymouth,dryeyes,dizzy,anxious,headache,blueberry,sweet,berry,hybrid,"relaxed, happy, euphoric, uplifted, energetic, stress, pain, depression, lackofappetite, headaches, drymouth, dryeyes, dizzy, anxious, headache, blueberry, sweet, berry, hybrid"
blueberry jack,relaxed,hungry,uplifted,euphoric,tingly,stress,depression,pain,nausea,lackofappetite,dryeyes,drymouth,paranoid,anxious,headache,blueberry,pine,berry,hybrid,"relaxed, hungry, uplifted, euphoric, tingly, stress, depression, pain, nausea, lackofappetite, dryeyes, drymouth, paranoid, anxious, headache, blueberry, pine, berry, hybrid"
blueberry kush,relaxed,sleepy,happy,euphoric,uplifted,stress,pain,insomnia,depression,lackofappetite,drymouth,dryeyes,anxious,paranoid,dizzy,blueberry,berry,earthy,indica,"relaxed, sleepy, happy, euphoric, uplifted, stress, pain, insomnia, depression, lackofappetite, drymouth, dryeyes, anxious, paranoid, dizzy, blueberry, berry, earthy, indica"
blueberry lambsbread,relaxed,happy,uplifted,euphoric,creative,depression,stress,lackofappetite,nausea,pain,drymouth,dizzy,none,none,none,blueberry,sweet,earthy,hybrid,"relaxed, happy, uplifted, euphoric, creative, depression, stress, lackofappetite, nausea, pain, drymouth, dizzy, none, none, none, blueberry, sweet, earthy, hybrid"
blueberry muffin,relaxed,happy,euphoric,uplifted,sleepy,stress,depression,pain,insomnia,musclespasms,drymouth,dryeyes,dizzy,headache,anxious,blueberry,berry,sweet,hybrid,"relaxed, happy, euphoric, uplifted, sleepy, stress, depression, pain, insomnia, musclespasms, drymouth, dryeyes, dizzy, headache, anxious, blueberry, berry, sweet, hybrid"
blueberry og,relaxed,uplifted,happy,euphoric,focused,stress,inflammation,pain,depression,headaches,drymouth,anxious,dryeyes,dizzy,paranoid,blueberry,earthy,berry,hybrid,"relaxed, uplifted, happy, euphoric, focused, stress, inflammation, pain, depression, headaches, drymouth, anxious, dryeyes, dizzy, paranoid, blueberry, earthy, berry, hybrid"
blueberry pancakes,relaxed,happy,uplifted,euphoric,focused,stress,pain,depression,headaches,lackofappetite,drymouth,dryeyes,none,none,none,sweet,blueberry,berry,hybrid,"relaxed, happy, uplifted, euphoric, focused, stress, pain, depression, headaches, lackofappetite, drymouth, dryeyes, none, none, none, sweet, blueberry, berry, hybrid"
blueberry pie,relaxed,happy,uplifted,euphoric,sleepy,pain,stress,insomnia,eyepressure,depression,drymouth,dryeyes,paranoid,dizzy,anxious,blueberry,berry,earthy,hybrid,"relaxed, happy, uplifted, euphoric, sleepy, pain, stress, insomnia, eyepressure, depression, drymouth, dryeyes, paranoid, dizzy, anxious, blueberry, berry, earthy, hybrid"
blueberry silvertip,happy,relaxed,uplifted,focused,tingly,stress,pain,depression,insomnia,lackofappetite,drymouth,anxious,dryeyes,headache,paranoid,blueberry,sage,chestnut,hybrid,"happy, relaxed, uplifted, focused, tingly, stress, pain, depression, insomnia, lackofappetite, drymouth, anxious, dryeyes, headache, paranoid, blueberry, sage, chestnut, hybrid"
blueberry skunk,relaxed,sleepy,euphoric,happy,hungry,stress,pain,depression,nausea,musclespasms,dryeyes,drymouth,dizzy,anxious,paranoid,blueberry,skunk,earthy,indica,"relaxed, sleepy, euphoric, happy, hungry, stress, pain, depression, nausea, musclespasms, dryeyes, drymouth, dizzy, anxious, paranoid, blueberry, skunk, earthy, indica"
blueberry space cake,relaxed,euphoric,happy,sleepy,giggly,stress,pain,headaches,depression,insomnia,drymouth,dryeyes,anxious,paranoid,headache,blueberry,flowery,berry,indica,"relaxed, euphoric, happy, sleepy, giggly, stress, pain, headaches, depression, insomnia, drymouth, dryeyes, anxious, paranoid, headache, blueberry, flowery, berry, indica"
blueberry triple og,relaxed,happy,uplifted,creative,euphoric,depression,stress,cramps,none,none,drymouth,none,none,none,none,skunk,blueberry,pungent,indica,"relaxed, happy, uplifted, creative, euphoric, depression, stress, cramps, none, none, drymouth, none, none, none, none, skunk, blueberry, pungent, indica"
blueberry waltz,uplifted,relaxed,euphoric,talkative,happy,depression,stress,none,none,none,none,none,none,none,none,blueberry,rose,sweet,indica,"uplifted, relaxed, euphoric, talkative, happy, depression, stress, none, none, none, none, none, none, none, none, blueberry, rose, sweet, indica"
blueberry yum yum,euphoric,uplifted,focused,creative,happy,stress,depression,pain,insomnia,headaches,drymouth,dizzy,paranoid,anxious,dryeyes,blueberry,sweet,mint,hybrid,"euphoric, uplifted, focused, creative, happy, stress, depression, pain, insomnia, headaches, drymouth, dizzy, paranoid, anxious, dryeyes, blueberry, sweet, mint, hybrid"
blues,relaxed,happy,talkative,creative,uplifted,musclespasms,stress,pain,depression,inflammation,drymouth,dryeyes,dizzy,paranoid,headache,berry,pungent,skunk,hybrid,"relaxed, happy, talkative, creative, uplifted, musclespasms, stress, pain, depression, inflammation, drymouth, dryeyes, dizzy, paranoid, headache, berry, pungent, skunk, hybrid"
blukashima,creative,none,none,none,none,depression,fatigue,inflammation,musclespasms,pain,none,none,none,none,none,none,none,none,hybrid,"creative, none, none, none, none, depression, fatigue, inflammation, musclespasms, pain, none, none, none, none, none, none, none, none, hybrid"
bluniverse,relaxed,euphoric,happy,creative,giggly,stress,depression,headaches,pain,nausea,drymouth,dryeyes,none,none,none,sweet,citrus,blueberry,hybrid,"relaxed, euphoric, happy, creative, giggly, stress, depression, headaches, pain, nausea, drymouth, dryeyes, none, none, none, sweet, citrus, blueberry, hybrid"
blurple,relaxed,euphoric,happy,uplifted,creative,stress,depression,headaches,nausea,inflammation,drymouth,dryeyes,anxious,headache,dizzy,sweet,berry,flowery,hybrid,"relaxed, euphoric, happy, uplifted, creative, stress, depression, headaches, nausea, inflammation, drymouth, dryeyes, anxious, headache, dizzy, sweet, berry, flowery, hybrid"
blush,creative,happy,relaxed,talkative,focused,depression,eyepressure,fatigue,lackofappetite,musclespasms,anxious,dryeyes,drymouth,paranoid,none,earthy,pepper,honey,hybrid,"creative, happy, relaxed, talkative, focused, depression, eyepressure, fatigue, lackofappetite, musclespasms, anxious, dryeyes, drymouth, paranoid, none, earthy, pepper, honey, hybrid"
bob saget,euphoric,uplifted,happy,focused,creative,stress,pain,depression,fatigue,lackofappetite,dizzy,headache,drymouth,none,none,pine,earthy,pungent,sativa,"euphoric, uplifted, happy, focused, creative, stress, pain, depression, fatigue, lackofappetite, dizzy, headache, drymouth, none, none, pine, earthy, pungent, sativa"
bodega bubblegum,creative,euphoric,giggly,happy,hungry,cramps,depression,eyepressure,headaches,inflammation,dryeyes,drymouth,none,none,none,sweet,none,none,hybrid,"creative, euphoric, giggly, happy, hungry, cramps, depression, eyepressure, headaches, inflammation, dryeyes, drymouth, none, none, none, sweet, none, none, hybrid"
bog blue kush,euphoric,uplifted,none,none,none,none,none,none,none,none,none,none,none,none,none,rose,sage,tar,indica,"euphoric, uplifted, none, none, none, none, none, none, none, none, none, none, none, none, none, rose, sage, tar, indica"
bog bubble,relaxed,hungry,sleepy,tingly,happy,stress,insomnia,pain,depression,cramps,dryeyes,drymouth,none,none,none,flowery,berry,blueberry,hybrid,"relaxed, hungry, sleepy, tingly, happy, stress, insomnia, pain, depression, cramps, dryeyes, drymouth, none, none, none, flowery, berry, blueberry, hybrid"
bog sour grape,energetic,euphoric,giggly,happy,none,depression,stress,none,none,none,none,none,none,none,none,berry,grape,sage,indica,"energetic, euphoric, giggly, happy, none, depression, stress, none, none, none, none, none, none, none, none, berry, grape, sage, indica"
bogart,happy,uplifted,talkative,euphoric,giggly,fatigue,stress,depression,nausea,pain,dryeyes,none,none,none,none,citrus,sweet,tropical,hybrid,"happy, uplifted, talkative, euphoric, giggly, fatigue, stress, depression, nausea, pain, dryeyes, none, none, none, none, citrus, sweet, tropical, hybrid"
boggle gum,happy,euphoric,uplifted,creative,energetic,stress,depression,pain,insomnia,lackofappetite,drymouth,dryeyes,dizzy,paranoid,anxious,sweet,citrus,earthy,hybrid,"happy, euphoric, uplifted, creative, energetic, stress, depression, pain, insomnia, lackofappetite, drymouth, dryeyes, dizzy, paranoid, anxious, sweet, citrus, earthy, hybrid"
bona dea,relaxed,energetic,euphoric,focused,sleepy,insomnia,lackofappetite,pain,none,none,dizzy,dryeyes,drymouth,none,none,earthy,skunk,spicy/herbal,indica,"relaxed, energetic, euphoric, focused, sleepy, insomnia, lackofappetite, pain, none, none, dizzy, dryeyes, drymouth, none, none, earthy, skunk, spicy/herbal, indica"
bonkers,euphoric,happy,relaxed,none,none,none,none,none,none,none,none,none,none,none,none,berry,none,none,hybrid,"euphoric, happy, relaxed, none, none, none, none, none, none, none, none, none, none, none, none, berry, none, none, hybrid"
booger,happy,uplifted,energetic,creative,relaxed,depression,stress,pain,fatigue,inflammation,drymouth,paranoid,anxious,headache,dryeyes,sweet,berry,pungent,hybrid,"happy, uplifted, energetic, creative, relaxed, depression, stress, pain, fatigue, inflammation, drymouth, paranoid, anxious, headache, dryeyes, sweet, berry, pungent, hybrid"
boombaye,aroused,creative,energetic,focused,happy,none,none,none,none,none,dizzy,dryeyes,drymouth,none,none,tea,woody,none,hybrid,"aroused, creative, energetic, focused, happy, none, none, none, none, none, dizzy, dryeyes, drymouth, none, none, tea, woody, none, hybrid"
bootlegger,happy,relaxed,euphoric,uplifted,aroused,stress,depression,fatigue,headaches,nausea,drymouth,paranoid,dryeyes,dizzy,none,earthy,pungent,berry,hybrid,"happy, relaxed, euphoric, uplifted, aroused, stress, depression, fatigue, headaches, nausea, drymouth, paranoid, dryeyes, dizzy, none, earthy, pungent, berry, hybrid"
bootylicious,happy,talkative,uplifted,none,none,none,none,none,none,none,none,none,none,none,none,earthy,sweet,none,hybrid,"happy, talkative, uplifted, none, none, none, none, none, none, none, none, none, none, none, none, earthy, sweet, none, hybrid"
bordello,creative,aroused,relaxed,euphoric,sleepy,stress,pain,depression,inflammation,insomnia,drymouth,paranoid,dryeyes,anxious,dizzy,cheese,earthy,sweet,hybrid,"creative, aroused, relaxed, euphoric, sleepy, stress, pain, depression, inflammation, insomnia, drymouth, paranoid, dryeyes, anxious, dizzy, cheese, earthy, sweet, hybrid"
boss hogg,happy,relaxed,euphoric,giggly,hungry,stress,depression,pain,inflammation,insomnia,drymouth,dryeyes,paranoid,anxious,headache,earthy,pine,citrus,hybrid,"happy, relaxed, euphoric, giggly, hungry, stress, depression, pain, inflammation, insomnia, drymouth, dryeyes, paranoid, anxious, headache, earthy, pine, citrus, hybrid"
boss og,relaxed,happy,uplifted,creative,euphoric,depression,stress,pain,headaches,fatigue,drymouth,anxious,headache,dryeyes,dizzy,diesel,earthy,pine,hybrid,"relaxed, happy, uplifted, creative, euphoric, depression, stress, pain, headaches, fatigue, drymouth, anxious, headache, dryeyes, dizzy, diesel, earthy, pine, hybrid"
brain candy,creative,energetic,none,none,none,depression,none,none,none,none,none,none,none,none,none,sweet,none,none,hybrid,"creative, energetic, none, none, none, depression, none, none, none, none, none, none, none, none, none, sweet, none, none, hybrid"
brains damage,sleepy,happy,relaxed,tingly,euphoric,stress,insomnia,lackofappetite,depression,nausea,drymouth,dizzy,anxious,headache,dryeyes,earthy,woody,sweet,indica,"sleepy, happy, relaxed, tingly, euphoric, stress, insomnia, lackofappetite, depression, nausea, drymouth, dizzy, anxious, headache, dryeyes, earthy, woody, sweet, indica"
brainstorm haze,creative,euphoric,happy,uplifted,focused,stress,pain,depression,nausea,fatigue,drymouth,dryeyes,dizzy,headache,paranoid,spicy/herbal,sweet,earthy,sativa,"creative, euphoric, happy, uplifted, focused, stress, pain, depression, nausea, fatigue, drymouth, dryeyes, dizzy, headache, paranoid, spicy/herbal, sweet, earthy, sativa"
brainwreck,uplifted,happy,creative,euphoric,focused,stress,depression,lackofappetite,fatigue,pain,drymouth,none,none,none,none,citrus,earthy,sweet,hybrid,"uplifted, happy, creative, euphoric, focused, stress, depression, lackofappetite, fatigue, pain, drymouth, none, none, none, none, citrus, earthy, sweet, hybrid"
brand x,euphoric,talkative,giggly,sleepy,happy,pain,insomnia,stress,depression,lackofappetite,dryeyes,drymouth,paranoid,none,none,pine,earthy,tar,indica,"euphoric, talkative, giggly, sleepy, happy, pain, insomnia, stress, depression, lackofappetite, dryeyes, drymouth, paranoid, none, none, pine, earthy, tar, indica"
brandywine,relaxed,uplifted,hungry,creative,euphoric,stress,pain,lackofappetite,depression,insomnia,headache,dryeyes,drymouth,anxious,dizzy,earthy,flowery,berry,indica,"relaxed, uplifted, hungry, creative, euphoric, stress, pain, lackofappetite, depression, insomnia, headache, dryeyes, drymouth, anxious, dizzy, earthy, flowery, berry, indica"
brazil amazonia,focused,uplifted,relaxed,energetic,euphoric,depression,stress,eyepressure,headaches,inflammation,drymouth,none,none,none,none,spicy/herbal,berry,citrus,sativa,"focused, uplifted, relaxed, energetic, euphoric, depression, stress, eyepressure, headaches, inflammation, drymouth, none, none, none, none, spicy/herbal, berry, citrus, sativa"
brian berry cough,euphoric,happy,uplifted,focused,relaxed,depression,musclespasms,fatigue,stress,nausea,anxious,drymouth,paranoid,dryeyes,dizzy,strawberry,berry,sweet,hybrid,"euphoric, happy, uplifted, focused, relaxed, depression, musclespasms, fatigue, stress, nausea, anxious, drymouth, paranoid, dryeyes, dizzy, strawberry, berry, sweet, hybrid"
bright fire,hungry,relaxed,uplifted,euphoric,creative,stress,depression,pain,nausea,musclespasms,drymouth,dizzy,dryeyes,none,none,pungent,earthy,chestnut,indica,"hungry, relaxed, uplifted, euphoric, creative, stress, depression, pain, nausea, musclespasms, drymouth, dizzy, dryeyes, none, none, pungent, earthy, chestnut, indica"
bright moments,uplifted,energetic,euphoric,focused,tingly,insomnia,musclespasms,pain,stress,none,drymouth,anxious,headache,none,none,flowery,woody,earthy,hybrid,"uplifted, energetic, euphoric, focused, tingly, insomnia, musclespasms, pain, stress, none, drymouth, anxious, headache, none, none, flowery, woody, earthy, hybrid"
broke diesel,uplifted,happy,relaxed,euphoric,creative,nausea,stress,insomnia,pain,none,dryeyes,headache,none,none,none,none,none,none,hybrid,"uplifted, happy, relaxed, euphoric, creative, nausea, stress, insomnia, pain, none, dryeyes, headache, none, none, none, none, none, none, hybrid"
bronze whaler,hungry,relaxed,none,none,none,stress,none,none,none,none,drymouth,none,none,none,none,none,none,none,indica,"hungry, relaxed, none, none, none, stress, none, none, none, none, drymouth, none, none, none, none, none, none, none, indica"
brooklyn mango,aroused,happy,talkative,giggly,euphoric,depression,lackofappetite,pain,stress,fatigue,drymouth,anxious,dizzy,dryeyes,none,mango,tropical,citrus,hybrid,"aroused, happy, talkative, giggly, euphoric, depression, lackofappetite, pain, stress, fatigue, drymouth, anxious, dizzy, dryeyes, none, mango, tropical, citrus, hybrid"
bruce banner,relaxed,euphoric,happy,uplifted,energetic,stress,depression,pain,headaches,fatigue,drymouth,dryeyes,anxious,paranoid,dizzy,earthy,sweet,diesel,hybrid,"relaxed, euphoric, happy, uplifted, energetic, stress, depression, pain, headaches, fatigue, drymouth, dryeyes, anxious, paranoid, dizzy, earthy, sweet, diesel, hybrid"
bruce banner 3,happy,relaxed,euphoric,creative,uplifted,stress,depression,pain,fatigue,cramps,drymouth,dryeyes,anxious,dizzy,paranoid,sweet,diesel,earthy,hybrid,"happy, relaxed, euphoric, creative, uplifted, stress, depression, pain, fatigue, cramps, drymouth, dryeyes, anxious, dizzy, paranoid, sweet, diesel, earthy, hybrid"
bsc,relaxed,giggly,euphoric,happy,hungry,depression,stress,lackofappetite,insomnia,eyepressure,drymouth,dryeyes,anxious,dizzy,headache,sweet,vanilla,earthy,hybrid,"relaxed, giggly, euphoric, happy, hungry, depression, stress, lackofappetite, insomnia, eyepressure, drymouth, dryeyes, anxious, dizzy, headache, sweet, vanilla, earthy, hybrid"
bubba berry,relaxed,sleepy,euphoric,hungry,happy,stress,insomnia,lackofappetite,nausea,fatigue,drymouth,dryeyes,none,none,none,pine,earthy,berry,indica,"relaxed, sleepy, euphoric, hungry, happy, stress, insomnia, lackofappetite, nausea, fatigue, drymouth, dryeyes, none, none, none, pine, earthy, berry, indica"
bubba doja,euphoric,relaxed,hungry,sleepy,happy,inflammation,pain,stress,depression,headaches,dizzy,dryeyes,drymouth,none,none,earthy,spicy/herbal,none,indica,"euphoric, relaxed, hungry, sleepy, happy, inflammation, pain, stress, depression, headaches, dizzy, dryeyes, drymouth, none, none, earthy, spicy/herbal, none, indica"
bubba fresh,happy,aroused,energetic,euphoric,focused,none,none,none,none,none,anxious,dizzy,dryeyes,drymouth,none,citrus,coffee,earthy,hybrid,"happy, aroused, energetic, euphoric, focused, none, none, none, none, none, anxious, dizzy, dryeyes, drymouth, none, citrus, coffee, earthy, hybrid"
bubba kush,relaxed,sleepy,happy,euphoric,hungry,stress,pain,insomnia,depression,lackofappetite,drymouth,dryeyes,dizzy,paranoid,anxious,earthy,pungent,sweet,indica,"relaxed, sleepy, happy, euphoric, hungry, stress, pain, insomnia, depression, lackofappetite, drymouth, dryeyes, dizzy, paranoid, anxious, earthy, pungent, sweet, indica"
bubba og,relaxed,happy,sleepy,hungry,giggly,insomnia,stress,pain,lackofappetite,depression,dryeyes,drymouth,dizzy,paranoid,headache,sweet,citrus,tropical,indica,"relaxed, happy, sleepy, hungry, giggly, insomnia, stress, pain, lackofappetite, depression, dryeyes, drymouth, dizzy, paranoid, headache, sweet, citrus, tropical, indica"
bubba tom hayes,happy,euphoric,uplifted,aroused,focused,depression,stress,lackofappetite,fatigue,none,dryeyes,none,none,none,none,diesel,sweet,earthy,hybrid,"happy, euphoric, uplifted, aroused, focused, depression, stress, lackofappetite, fatigue, none, dryeyes, none, none, none, none, diesel, sweet, earthy, hybrid"
bubba x skunk,relaxed,creative,sleepy,talkative,euphoric,eyepressure,musclespasms,depression,headaches,insomnia,drymouth,none,none,none,none,earthy,tea,diesel,hybrid,"relaxed, creative, sleepy, talkative, euphoric, eyepressure, musclespasms, depression, headaches, insomnia, drymouth, none, none, none, none, earthy, tea, diesel, hybrid"
bubbas bitch,hungry,relaxed,sleepy,tingly,uplifted,none,none,none,none,none,none,none,none,none,none,earthy,flowery,rose,indica,"hungry, relaxed, sleepy, tingly, uplifted, none, none, none, none, none, none, none, none, none, none, earthy, flowery, rose, indica"
bubbas gift,relaxed,sleepy,happy,energetic,euphoric,stress,depression,pain,insomnia,spasticity,dryeyes,drymouth,anxious,dizzy,paranoid,earthy,butter,grapefruit,indica,"relaxed, sleepy, happy, energetic, euphoric, stress, depression, pain, insomnia, spasticity, dryeyes, drymouth, anxious, dizzy, paranoid, earthy, butter, grapefruit, indica"
bubble bomb,creative,happy,relaxed,aroused,euphoric,stress,none,none,none,none,dryeyes,none,none,none,none,flowery,apricot,earthy,hybrid,"creative, happy, relaxed, aroused, euphoric, stress, none, none, none, none, dryeyes, none, none, none, none, flowery, apricot, earthy, hybrid"
bubble cheese,sleepy,happy,relaxed,creative,hungry,depression,insomnia,stress,pain,headaches,drymouth,dryeyes,headache,dizzy,none,cheese,earthy,pungent,indica,"sleepy, happy, relaxed, creative, hungry, depression, insomnia, stress, pain, headaches, drymouth, dryeyes, headache, dizzy, none, cheese, earthy, pungent, indica"
bubble gum,happy,relaxed,euphoric,uplifted,creative,stress,depression,pain,insomnia,lackofappetite,drymouth,dryeyes,dizzy,paranoid,anxious,sweet,flowery,berry,hybrid,"happy, relaxed, euphoric, uplifted, creative, stress, depression, pain, insomnia, lackofappetite, drymouth, dryeyes, dizzy, paranoid, anxious, sweet, flowery, berry, hybrid"
bubbleberry,happy,energetic,euphoric,uplifted,tingly,pain,depression,fatigue,stress,insomnia,drymouth,headache,anxious,dryeyes,dizzy,berry,flowery,skunk,hybrid,"happy, energetic, euphoric, uplifted, tingly, pain, depression, fatigue, stress, insomnia, drymouth, headache, anxious, dryeyes, dizzy, berry, flowery, skunk, hybrid"
bubblegum kush,relaxed,euphoric,happy,sleepy,uplifted,stress,depression,insomnia,pain,lackofappetite,drymouth,dryeyes,dizzy,anxious,paranoid,sweet,earthy,berry,indica,"relaxed, euphoric, happy, sleepy, uplifted, stress, depression, insomnia, pain, lackofappetite, drymouth, dryeyes, dizzy, anxious, paranoid, sweet, earthy, berry, indica"
bubblegun,happy,euphoric,uplifted,focused,relaxed,stress,pain,insomnia,depression,nausea,drymouth,dryeyes,headache,dizzy,paranoid,sweet,earthy,mint,hybrid,"happy, euphoric, uplifted, focused, relaxed, stress, pain, insomnia, depression, nausea, drymouth, dryeyes, headache, dizzy, paranoid, sweet, earthy, mint, hybrid"
bubblicious,relaxed,happy,sleepy,focused,euphoric,depression,stress,pain,headaches,nausea,drymouth,paranoid,dryeyes,dizzy,headache,sweet,earthy,berry,hybrid,"relaxed, happy, sleepy, focused, euphoric, depression, stress, pain, headaches, nausea, drymouth, paranoid, dryeyes, dizzy, headache, sweet, earthy, berry, hybrid"
buckeye purple,relaxed,sleepy,euphoric,happy,aroused,insomnia,pain,stress,nausea,inflammation,dizzy,none,none,none,none,grape,flowery,berry,indica,"relaxed, sleepy, euphoric, happy, aroused, insomnia, pain, stress, nausea, inflammation, dizzy, none, none, none, none, grape, flowery, berry, indica"
buddha haze,energetic,creative,uplifted,happy,aroused,musclespasms,stress,depression,pain,fatigue,drymouth,dryeyes,anxious,dizzy,headache,earthy,sweet,spicy/herbal,sativa,"energetic, creative, uplifted, happy, aroused, musclespasms, stress, depression, pain, fatigue, drymouth, dryeyes, anxious, dizzy, headache, earthy, sweet, spicy/herbal, sativa"
buddha tahoe,relaxed,happy,euphoric,creative,talkative,stress,depression,pain,musclespasms,insomnia,dryeyes,drymouth,headache,anxious,dizzy,earthy,woody,citrus,indica,"relaxed, happy, euphoric, creative, talkative, stress, depression, pain, musclespasms, insomnia, dryeyes, drymouth, headache, anxious, dizzy, earthy, woody, citrus, indica"
buddhas hand,energetic,euphoric,creative,aroused,talkative,depression,fatigue,stress,cramps,lackofappetite,drymouth,dryeyes,anxious,none,none,citrus,earthy,lemon,hybrid,"energetic, euphoric, creative, aroused, talkative, depression, fatigue, stress, cramps, lackofappetite, drymouth, dryeyes, anxious, none, none, citrus, earthy, lemon, hybrid"
buddhas sister,relaxed,happy,sleepy,euphoric,uplifted,stress,pain,depression,insomnia,inflammation,drymouth,dryeyes,dizzy,paranoid,anxious,earthy,woody,spicy/herbal,indica,"relaxed, happy, sleepy, euphoric, uplifted, stress, pain, depression, insomnia, inflammation, drymouth, dryeyes, dizzy, paranoid, anxious, earthy, woody, spicy/herbal, indica"
buddhas tooth,talkative,aroused,creative,energetic,euphoric,depression,fatigue,inflammation,nausea,stress,dryeyes,drymouth,none,none,none,citrus,pine,violet,sativa,"talkative, aroused, creative, energetic, euphoric, depression, fatigue, inflammation, nausea, stress, dryeyes, drymouth, none, none, none, citrus, pine, violet, sativa"
buffalo bill,euphoric,relaxed,happy,creative,energetic,depression,stress,fatigue,headaches,pain,drymouth,dryeyes,anxious,dizzy,headache,earthy,pine,woody,sativa,"euphoric, relaxed, happy, creative, energetic, depression, stress, fatigue, headaches, pain, drymouth, dryeyes, anxious, dizzy, headache, earthy, pine, woody, sativa"
